category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Environmental adaptation	hsa04713	Circadian entrainment	52/2663	97/9497	0.536082474226804	1.91181947342544	5.63442045899759	8.97824028635647e-08	2.23173401403718e-06	1.3568618778629e-06	2782/5567/9722/6262/5592/2893/775/2904/4842/54331/9252/6263/91860/51764/8912/115/2903/5579/5595/113/2775/8913/5578/2905/2788/5566/6261/1385/8864/23236/5332/3763/8911/3708/776/111/59345/5593/817/2891/108/2890/3710/117/816/107/2770/2792/114/2776/2902/2892	52
Organismal Systems	Endocrine system	hsa04919	Thyroid hormone signaling pathway	61/2663	122/9497	0.5	1.78313931656027	5.4344019052441	2.0125558411594e-07	4.53854537794964e-06	2.75936969439769e-06	5293/2475/1733/5567/4853/6258/5208/10000/5214/51196/3265/53919/4193/488/23389/2308/1734/1735/5604/25942/7249/1387/5579/5595/5336/489/482/9611/3690/9969/5578/10025/5605/5566/4854/5296/208/478/6772/84812/23236/5332/5335/8202/1827/2033/5894/2932/5291/116931/5295/10231/3066/2099/60/6009/2626/10499/9442/6256/6567	61
Organismal Systems	Nervous system	hsa04720	Long-term potentiation	39/2663	67/9497	0.582089552238806	2.07589353271196	5.51657212831114	2.08668753009179e-07	4.53854537794964e-06	2.75936969439769e-06	5567/5906/3265/5499/2915/775/2904/3709/10411/5604/91860/1387/2903/5579/5595/5578/2905/5605/5566/5534/23236/5332/2033/3708/5894/5530/817/2891/2890/3710/2911/6196/816/107/5533/114/2776/2902/27330	39
Environmental Information Processing	Signal transduction	hsa04014	Ras signaling pathway	103/2663	238/9497	0.432773109243697	1.54338949248494	5.29951495018411	2.50543710500962e-07	5.12877713260793e-06	3.11822203162188e-06	2782/5293/1969/5322/391013/998/5567/5906/4914/27/23179/5321/10000/51196/2263/3265/3481/22800/5058/9846/80310/2113/4908/2904/8315/8437/283455/5319/2321/22821/54331/255189/5604/91860/5923/3480/51764/2903/8399/5579/5595/5336/8844/4763/4804/5578/2885/10928/25759/27006/2788/5605/3643/5566/5296/115727/208/8605/4909/25780/6654/7039/7535/5899/51378/57144/57186/57148/5335/6789/7074/8398/5894/5291/5337/59345/2261/5156/3815/5602/2549/5295/5924/2246/5159/8817/2264/2324/55770/8831/4301/9771/1956/2792/4233/285/2260/284/7010/4915/53358/25/2902	103
Environmental Information Processing	Signal transduction	hsa04010	MAPK signaling pathway	124/2663	300/9497	0.413333333333333	1.47406183502316	5.20823985227878	3.41574937721356e-07	6.60378212927956e-06	4.0150036539177e-06	1969/998/5567/5906/4914/777/5321/779/10000/783/4791/2263/3265/1850/3481/22800/84867/5058/80310/93589/775/4908/51135/3164/2065/1649/5801/8550/51347/2321/7043/9252/255189/5604/5607/5923/3480/8912/23162/5579/10368/5595/4775/1398/409/6416/5606/51701/57551/4763/2064/9020/4137/4804/8913/5578/5608/2885/27006/5605/4902/3643/773/5566/115727/4294/208/8605/4909/59283/59285/25780/6654/5495/5534/7039/3554/785/2066/51378/994/6789/10369/10454/8911/23542/5894/9254/776/55799/9175/2261/5156/3815/5602/5530/2668/5924/4208/929/2246/5159/8817/2264/2324/3305/4217/23118/6196/2768/1956/781/4233/285/5533/2260/6788/284/7010/4915/7186/774/778/27330	124
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	90/2663	203/9497	0.443349753694581	1.58110875360024	5.2242331589508	3.95344292290578e-07	7.2410428272169e-06	4.40244890583968e-06	5293/998/10451/5906/63923/7143/4660/3914/10000/8516/7414/1793/3265/55742/5499/5058/80310/894/7450/1280/5829/2321/1282/1284/83660/5604/22801/5923/3480/5579/5595/1398/2064/3690/1101/5578/2885/3691/3909/596/25759/23396/5296/81/208/7408/2909/54776/6654/1286/1293/57144/1299/1291/29780/859/5894/3680/2317/2932/4638/256076/5291/4636/5156/5602/3673/5295/7060/5159/2324/340156/896/1297/3910/3908/7058/60/1956/1278/93408/5649/22798/858/4233/5747/8395/53358/2889/7410	90
Human Diseases	Substance dependence	hsa05033	Nicotine addiction	27/2663	41/9497	0.658536585365854	2.3485249535184	5.40151557548147	5.03079817633639e-07	8.75358882682532e-06	5.32205491286113e-06	2563/1141/2893/2904/246213/2562/2558/2567/1139/2903/2905/773/2565/2555/2560/2891/2890/2561/2566/2568/2570/116443/2902/774/2892/2564/2556	27
Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	46/2663	86/9497	0.534883720930233	1.9075443851575	5.27737143584191	5.37121900109978e-07	8.9008772018225e-06	5.41160410637121e-06	779/88/6262/8516/783/29119/6934/93589/775/5318/488/4842/6445/6547/22801/10368/489/3690/3691/1000/1829/6543/59283/59285/6546/1496/83439/785/6640/10369/859/3680/9254/776/55799/3673/1495/6444/1832/2697/3908/60/781/137868/1756/778	46
Organismal Systems	Nervous system	hsa04723	Retrograde endocannabinoid signaling	70/2663	149/9497	0.469798657718121	1.67543291488884	5.18721742382906	5.6835348377585e-07	8.99031874336344e-06	5.46598326502133e-06	2782/2563/2166/5567/779/747/100532726/2915/2893/775/3709/55967/246213/54331/2562/2558/2567/51764/115/5579/5595/113/2775/5578/2788/126328/773/5566/51079/4696/4705/23236/5332/3763/4731/4700/3708/776/57406/111/11343/59345/2565/2555/2560/5602/2891/4726/108/2890/2561/2566/2568/3710/22999/2570/2911/107/2770/2792/222236/4698/114/4712/2776/774/778/2892/2564/2556	70
Human Diseases	Endocrine and metabolic disease	hsa04934	Cushing syndrome	72/2663	155/9497	0.464516129032258	1.65659394570761	5.14471404230674	6.75770370084109e-07	1.02195456987649e-05	6.21333540669009e-06	1870/5567/5906/7482/148327/5087/779/5929/3776/7483/89780/183/1586/6934/4221/9049/81029/775/3709/7480/3164/6667/949/11211/5925/5604/8312/8912/115/5595/113/23746/1394/7473/7484/8913/8313/2767/5605/84699/5566/5443/83439/50940/1385/7475/23236/5332/8911/7477/3708/7476/776/7474/2932/111/817/108/1871/3710/9586/816/107/1956/8326/2770/1021/114/1584/2776/2516/778	72
Human Diseases	Infectious disease: viral	hsa05165	Human papillomavirus infection	134/2663	333/9497	0.402402402402402	1.43507908960406	5.04505884963245	7.04796255087234e-07	1.02195456987649e-05	6.21333540669009e-06	57801/9636/5590/388585/54626/5293/2475/23352/998/10207/3716/5567/7482/4853/148327/63923/7143/3914/7483/89780/10000/8516/56288/6934/3265/1740/84441/81029/894/7450/1280/7480/4193/5829/23545/11211/2308/5925/1282/1284/55012/64398/51382/5663/5527/7337/5604/22801/8312/7249/1387/5595/84667/535/27175/7473/7484/3690/1101/8313/9368/2885/3993/3691/3909/5605/84699/7297/5566/4854/5296/208/245973/6654/90423/525/83439/6772/1385/7475/1286/1293/182/5933/11317/84612/1299/4599/1291/529/2033/7477/10474/5894/7476/3680/7474/9223/2932/256076/5523/5291/1739/5522/3516/55534/7015/3673/5295/7060/5515/5521/1452/5159/896/1297/3910/3066/3908/7058/3955/9586/1956/8326/1021/1278/5649/22798/50617/6009/51606/245972/5747/1741	134
Organismal Systems	Nervous system	hsa04730	Long-term depression	35/2663	60/9497	0.583333333333333	2.08032920265365	5.24002323128869	8.15559912299653e-07	1.13525939792112e-05	6.9022123104097e-06	5321/5592/3265/3709/4842/255189/5604/3480/5579/5595/2775/1394/5578/2767/5605/773/6261/8605/23236/5332/3708/5894/5593/2895/2891/5515/2890/3710/2911/2768/10842/2770/4067/2776/2892	35
Environmental Information Processing	Signal transduction	hsa04310	Wnt signaling pathway	78/2663	174/9497	0.448275862068966	1.59867662864024	4.9751655354492	1.37269029078444e-06	1.83729315843456e-05	1.11704756456548e-05	284654/4919/5567/7482/81839/57216/27101/7483/89780/6934/1488/55366/8061/4041/81029/894/4040/144165/7480/8549/11211/5663/440193/4088/8312/1387/5579/85407/4775/102723796/51701/7473/7484/8313/5578/4089/5566/5534/83439/7475/343637/23236/5332/84133/2033/7477/7476/7474/166336/2932/8607/79718/1487/5602/5530/80319/27123/817/85409/1501/4163/6500/1452/23291/5467/23500/896/816/8326/8454/5533/6422/340419/7091/7088/27130/6907/2239	78
Organismal Systems	Endocrine system	hsa04921	Oxytocin signaling pathway	71/2663	155/9497	0.458064516129032	1.63358569646167	4.96443388017867	1.53835316683669e-06	1.98276630392284e-05	1.20549312488957e-05	5567/5321/779/4660/6262/57118/783/3265/5499/93589/775/3709/5564/6263/255189/5604/5607/91860/115/5579/10368/5595/113/2775/4775/5578/5605/5566/6261/8605/59283/59285/54776/5534/785/53632/23236/5332/1827/3763/7226/10369/3761/3708/5021/5894/9254/776/55799/111/4638/952/5530/817/108/4208/340156/3710/60/816/107/1956/2770/781/5294/4846/51422/5533/114/2776/778	71
Environmental Information Processing	Signal transduction	hsa04012	ErbB signaling pathway	45/2663	86/9497	0.523255813953488	1.86607602895842	5.03623290633809	1.59900038901664e-06	1.98732905492068e-05	1.20826721124942e-05	5293/2475/27/10000/10718/3265/5058/867/2065/5604/5579/5595/5336/1398/6416/2064/6777/6776/5578/2885/25759/5605/5296/208/6654/7039/8440/2066/57144/5335/5894/2932/4690/5291/5602/817/2549/5295/9542/816/1956/3084/5747/53358/25	45
Organismal Systems	Endocrine system	hsa04928	Parathyroid hormone synthesis, secretion and action	56/2663	115/9497	0.48695652173913	1.73662263873696	4.96094847922912	1.86227214924227e-06	2.23472657909073e-05	1.35868131396623e-05	5142/5567/148327/4209/6258/4041/4040/3709/7421/6667/8600/4323/5604/11214/4205/115/5579/5595/113/4324/409/5578/9368/596/2767/84699/5141/5566/5143/9138/27347/1385/23236/5332/3708/5894/846/111/5337/108/5144/4208/3710/860/6446/2768/9586/107/1956/2770/2260/4325/114/2776/65268/6256	56
Organismal Systems	Circulatory system	hsa04261	Adrenergic signaling in cardiomyocytes	70/2663	154/9497	0.454545454545455	1.62103574232752	4.85011717233771	2.56691095976224e-06	2.9776167133242e-05	1.81034772951653e-05	5567/148327/779/493/3776/183/6262/10000/783/3784/5499/93589/775/10411/488/55012/6547/9252/5527/91860/115/10368/5595/113/489/482/5578/596/84699/5566/7171/208/478/6543/59283/59285/6546/785/11069/1385/23236/5332/3753/10369/491/6331/4634/9254/776/55799/111/5523/5522/817/108/5515/5521/147/9586/816/107/2770/781/5294/148/114/2776/778/186/492	70
Organismal Systems	Endocrine system	hsa04927	Cortisol synthesis and secretion	36/2663	65/9497	0.553846153846154	1.97516970449753	4.92440123861792	3.11412181196578e-06	3.33205662883356e-05	2.02584205201315e-05	5567/148327/5087/779/3776/183/1586/775/3709/3164/6667/949/8912/115/113/8913/2767/84699/5566/5443/1385/23236/5332/8911/3708/776/111/108/3710/9586/107/114/1584/2776/2516/778	36
Environmental Information Processing	Signal transduction	hsa04070	Phosphatidylinositol signaling system	49/2663	98/9497	0.5	1.78313931656027	4.8644045916922	3.12762096498549e-06	3.33205662883356e-05	2.02584205201315e-05	5293/3633/5305/51196/3632/3636/5288/3709/9107/160851/3705/3706/9677/91860/5579/5336/8396/5578/5289/23396/5296/3631/84812/8527/23236/5332/5335/8867/8897/3708/64419/51447/9807/5291/1608/1609/55300/8821/5295/3710/8871/1607/9162/9108/8395/139189/55613/4534/8776	49
Human Diseases	Drug resistance: antineoplastic	hsa01521	EGFR tyrosine kinase inhibitor resistance	42/2663	80/9497	0.525	1.87229628238828	4.89070174777928	3.15970887216976e-06	3.33205662883356e-05	2.02584205201315e-05	5293/2475/3716/3570/10000/2263/3265/80310/2065/2621/5604/3480/5579/5595/5336/4763/2064/6774/5578/2885/596/25759/5605/5296/208/6654/7039/5335/5894/2932/5291/2261/5156/2549/5295/9542/5159/1956/4233/3084/3717/53358	42
Organismal Systems	Immune system	hsa04662	B cell receptor signaling pathway	46/2663	91/9497	0.505494505494505	1.80273425410489	4.80295428953784	4.25502202632e-06	4.35514019164517e-05	2.6478620039948e-05	5293/10451/10000/29760/8519/3265/975/3636/5604/5579/5595/4775/5336/2885/10892/5605/5296/933/208/973/11025/10990/10288/353514/23547/11027/10859/11006/25780/6654/5534/5894/2932/5291/27071/5530/55024/5295/4794/84433/5533/4067/971/6850/7410/695	46
Organismal Systems	Endocrine system	hsa04911	Insulin secretion	44/2663	86/9497	0.511627906976744	1.82460767275935	4.79509437683428	4.54996609640619e-06	4.463025638357e-05	2.71345478920071e-05	5567/148327/3782/779/6262/1131/3778/6833/775/115/5579/113/482/5578/2767/84699/5566/3780/5864/2864/478/54795/11069/1385/23236/5332/776/111/6514/10242/817/108/3781/3779/3710/9586/117/816/107/157855/9699/114/2776/778	44
Organismal Systems	Nervous system	hsa04726	Serotonergic synapse	55/2663	115/9497	0.478260869565217	1.70561152018808	4.75209722580033	4.61692307416241e-06	4.463025638357e-05	2.71345478920071e-05	2782/3362/5567/5321/779/240/1562/1557/1559/3265/9177/775/3709/10411/121278/3356/54331/2562/255189/5604/51764/5579/5595/2775/239/6532/5578/2788/773/5566/8605/23236/5332/351/3763/3708/5894/776/111/7220/59345/285242/2560/3781/3360/2561/3710/1644/2770/2792/3751/2776/774/778/3358	55
Environmental Information Processing	Signal transduction	hsa04022	cGMP-PKG signaling pathway	73/2663	166/9497	0.439759036144578	1.56830325432409	4.61093012900727	6.92955206340303e-06	6.51752464341691e-05	3.9625603548905e-05	4985/148327/4209/779/134/493/10000/5592/3778/5499/5138/775/5139/3709/488/6547/5604/91860/4205/115/5595/113/1258/4775/489/482/2767/5605/84699/3643/208/478/7408/6543/6546/5581/5534/1385/3667/23236/5332/3708/491/5894/776/111/4638/10242/5593/5530/83447/1909/108/4208/147/3779/340156/3710/2768/9586/107/2770/5294/4846/2626/5533/148/157855/7419/114/2776/778/492	73
Human Diseases	Neurodegenerative disease	hsa05017	Spinocerebellar ataxia	65/2663	144/9497	0.451388888888889	1.60977854967247	4.60252727499552	7.70824153639922e-06	7.05912645964981e-05	4.29184639561286e-05	5293/2475/9698/5690/1600/115209/2959/5686/10000/90550/5719/5682/10524/2904/3709/6667/488/6311/5715/8408/2259/4287/6095/2903/5579/146227/489/5691/5709/5578/2905/5289/773/6511/5296/6261/5704/208/23152/10213/23236/5332/11317/3708/5291/3516/5602/83447/2891/5295/2890/6310/3710/4217/2911/7979/5649/7419/7436/2776/116443/5695/7186/2902/2892	65
Human Diseases	Cancer: overview	hsa05205	Proteoglycans in cancer	86/2663	204/9497	0.42156862745098	1.50343118847238	4.5372810514547	8.57592038931633e-06	7.65235973200534e-05	4.65252361201777e-05	5293/2475/3339/998/5567/10451/7482/4660/7483/89780/10000/288/5328/51196/60495/3265/3481/22800/5499/5058/867/81029/3709/7480/2065/4193/5829/11211/5604/8826/3480/5579/5595/4313/5336/2064/6774/7473/7484/3690/406902/5578/2885/5605/5566/5296/208/9138/54776/6654/2066/7475/5335/7074/7477/3708/859/5894/7476/7474/5291/287/817/2549/3673/5295/3710/2099/7430/60/7291/816/1956/8326/1278/858/4233/6608/2260/286/6383/5747/7099/7410/4478/2719	86
Organismal Systems	Endocrine system	hsa04916	Melanogenesis	49/2663	101/9497	0.485148514851485	1.73017478240501	4.60505118482324	9.19492490366967e-06	7.99958466619261e-05	4.86363133062527e-05	5567/7482/148327/7483/89780/6934/3265/7299/81029/7480/11211/5604/91860/1387/115/5579/5595/113/2775/7473/7484/5578/5605/84699/5566/5443/83439/1385/7475/23236/5332/2033/7477/5894/7476/7474/4286/2932/111/3815/817/108/816/107/8326/2770/114/7306/2776	49
Human Diseases	Cancer: overview	hsa05231	Choline metabolism in cancer	48/2663	99/9497	0.484848484848485	1.72910479181602	4.55206315110299	1.15534697620951e-05	9.80635970050995e-05	5.96212431882184e-05	5293/2475/8613/204962/5321/10000/3265/80310/6667/56994/10810/160851/255189/5604/7249/5579/5595/5578/2885/8612/23396/5605/5296/208/8605/6654/8527/56261/5335/5894/5291/5337/1608/5130/1609/5156/5602/5295/5159/6582/1607/1956/9162/6009/8395/9468/7454/139189	48
Environmental Information Processing	Signal transduction	hsa04024	cAMP signaling pathway	93/2663	226/9497	0.411504424778761	1.46753943752305	4.44045658258876	1.22912212752951e-05	0.000101841547709588	6.19181823642687e-05	5293/3362/1907/5142/5567/10451/5906/148327/779/134/493/3776/6262/10000/51196/22800/5499/5058/2893/1813/775/2904/5139/10411/488/10257/5604/91860/10021/6755/1387/115/2903/5595/113/1258/489/482/1394/2905/610/5605/84699/5141/5566/5296/5143/5348/208/478/2696/5443/3973/1261/11069/1385/7074/2033/5021/491/5894/776/111/5291/5337/5602/817/1909/2891/108/5144/5295/3360/2890/10846/4301/9586/117/2737/816/107/2770/1080/1129/114/9568/116443/7410/2902/778/2892/1260/492	93
Organismal Systems	Nervous system	hsa04728	Dopaminergic synapse	60/2663	133/9497	0.451127819548872	1.6088475036634	4.4138960054551	1.74157628059819e-05	0.000140946173406551	8.56932270257615e-05	2782/5567/148327/10000/50632/1815/7054/5499/220074/2893/1813/775/2904/3709/55012/54331/5527/91860/51764/2903/5579/2775/409/5578/2788/84699/773/5566/208/2931/1385/23236/5332/3763/1312/3708/776/2932/111/5523/59345/5522/5602/5530/817/2891/6531/5515/5521/2890/3710/9586/816/1644/2770/2792/5533/2776/774/2892	60
Organismal Systems	Endocrine system	hsa04925	Aldosterone synthesis and secretion	47/2663	98/9497	0.479591836734694	1.71035811996597	4.41233025521634	2.03911683472232e-05	0.000161275604200765	9.80532257844942e-05	5567/148327/779/493/183/57118/747/5138/775/3709/3164/949/5587/91860/8912/115/5579/113/482/8913/5578/2767/84699/5566/478/5443/23683/5581/1385/23236/5332/8911/3708/491/776/111/817/108/3710/9586/816/107/114/51305/2776/778/492	47
Cellular Processes	Cellular community - eukaryotes	hsa04520	Adherens junction	45/2663	93/9497	0.483870967741935	1.72561869344542	4.38946990264188	2.29298824998523e-05	0.000174176288950759	0.000105896654806723	998/5792/5906/56288/29119/7414/10580/6934/5795/1500/5818/10810/7082/4088/8826/3480/1387/5595/1003/51701/2064/10458/7525/5797/4089/3643/81/5819/54922/52/1496/83439/2033/4636/1495/4301/55698/60/1956/889/93408/4233/2260/6591/7454	45
Organismal Systems	Circulatory system	hsa04270	Vascular smooth muscle contraction	60/2663	134/9497	0.447761194029851	1.5968411790092	4.34332288310697	2.30233025624567e-05	0.000174176288950759	0.000105896654806723	5322/391013/1907/5567/5321/779/4660/183/5592/3778/5499/775/3709/5319/5583/255189/5604/91860/115/8399/4629/5579/5595/113/136/5578/2767/5605/5566/9138/8605/79784/54776/5581/10267/23236/5332/8398/79924/3708/5894/776/111/4638/10242/1909/108/147/3779/340156/3710/2768/10268/107/800/148/157855/114/2776/778	60
Environmental Information Processing	Membrane transport	hsa02010	ABC transporters	26/2663	45/9497	0.577777777777778	2.06051654358076	4.45123268257998	2.68371958233246e-05	0.000198709449925893	0.00012081246048126	24/1244/6833/23457/10257/4363/368/94160/85320/8714/10351/23460/64241/64240/8647/26154/9619/6891/89845/340273/154664/5243/1080/1672/19/22	26
Metabolism	Glycan biosynthesis and metabolism	hsa00512	Mucin type O-glycan biosynthesis	22/2663	36/9497	0.611111111111111	2.17939249801811	4.42547140641056	3.3709495745576e-05	0.000244393844155426	0.000148587908878526	256435/2590/374378/100528030/8693/50614/57452/6483/10610/55808/2589/10331/79623/114805/9334/442117/51809/51301/55568/56913/64409/6482	22
